역코드,역명,승강기명,운행구간,설치위치,운행상태,승강기 구분
227,낙성대,승강기)엘리베이터 외부#1,B1-F1,6번 출구측,보수중,EV
228,서울대입구,승강기)엘리베이터 외부#1,B1-F1,6번 출구측,사용가능,EV
228,서울대입구,승강기)엘리베이터 외부#2,B1-F1,2번 출구측,사용가능,EV
229,봉천,승강기)엘리베이터 외부#1,B1-F1,4번 출구측,사용가능,EV
230,신림,승강기)엘리베이터 외부#1,B1-F1,1번 출구측,사용가능,EV
230,신림,승강기)엘리베이터 외부#2,B1-F1,5번 출구측,사용가능,EV
231,신대방,승강기)엘리베이터 외부#1,지상-F2,1번 출구측,보수중,EV
232,구로디지털단지,승강기)엘리베이터 외부#1,F2-F3,6번 출구측,사용가능,EV
233,대림(2),승강기)엘리베이터 외부#1,지상-F2,7번 출구측,사용가능,EV
233,대림(2),승강기)엘리베이터 외부#2,지상-F2,4번 출구측,보수중,EV
234,신도림(2),승강기)엘리베이터 외부#1,B1-F1-F2,1번 출구측,보수중,EV
234,신도림(2),승강기)엘리베이터 외부#2,B1-지상,2번 출구측,사용가능,EV
235,문래,승강기)엘리베이터 외부#1,B1-F1,5번 출구측,사용가능,EV
235,문래,승강기)엘리베이터 외부#2,B1-F1,1번 출구측,사용가능,EV
236,영등포구청(2),승강기)엘리베이터 외부#1,B1-F1,2번 출구측,보수중,EV
237,당산(2),승강기)엘리베이터 외부#1,지상-F2,4번 출구측,사용가능,EV
238,합정(2),승강기)엘리베이터 외부#1,B1-F1,1번 출구측,사용가능,EV
238,합정(2),승강기)엘리베이터 외부#2,B1-F1,4번 출구측,사용가능,EV
239,홍대입구(2),승강기)엘리베이터 외부#1,B1-F1,8번 출구측,사용가능,EV
240,신촌,승강기)엘리베이터 외부#1,B1-F1,4번 출구측,사용가능,EV
240,신촌,승강기)엘리베이터 외부#2,B1-F1,6번 출구측,사용가능,EV
241,이대,승강기)엘리베이터 외부#1,B1-F1,6번 출구측,사용가능,EV
241,이대,승강기)엘리베이터 외부#2,B1-F1,2번 출구측,사용가능,EV
